Name,List,Description,Ingredient Number,Ingredient,Quantity,Quantity Unit,Garnish
,,,8,soda water,,,
Rusty nail,IBA Unforgettables,Made by mixing Drambuie and Scotch whisky.,,,,,
,,,1,Drambuie,,,
,,,2,Scotch whisky,,,
Sazerac,IBA Unforgettables,"A local New Orleans variation of a cognac or whiskey cocktail, named for the Sazerac de Forge et Fils brand of cognac brandy that served as its original main ingredient. The drink is most traditionally a combination of cognac or rye whiskey, absinthe, Peychaud's Bitters, and sugar, although bourbon whiskey is sometimes substituted for the rye and Herbsaint is sometimes substituted for the absinthe.",,,,,
,,,1,unknown,,,
Sidecar,IBA Unforgettables,"Made with cognac, orange liqueur (Cointreau, Grand Marnier, Dry Curaçao, or some other triple sec), plus lemon juice.",,,,,
,,,1,cognac,,,
,,,2,orange liqueur,,,
,,,3,lemon juice,,,
Stinger,IBA Unforgettables,Duo cocktail made by adding crème de menthe to brandy (although recipes vary).,,,,,
,,,1,crème de menthe,,,
,,,2,brandy,,,
Tuxedo,IBA Unforgettables,"Made with gin, dry vermouth, orange bitters, maraschino and absinthe.",,,,,
,,,1,gin,,,
,,,2,dry vermouth,,,
,,,3,orange bitters,,,
,,,4,maraschino,,,
,,,5,absinthe,,,
Vieux Carré,IBA Unforgettables,"Made with rye whiskey, cognac, sweet vermouth liqueur, Bénédictine, and Peychaud's bitters.",,,,,
,,,1,rye whiskey,,,
,,,2,cognac,,,
,,,3,sweet vermouth liqueur,,,
,,,4,bitters,,,
Whiskey sour,IBA Unforgettables,"Mixed drink containing whiskey (often bourbon), lemon juice, sugar, and optionally, a dash of egg white.",,,,,
,,,1,whiskey,,,
,,,2,lemon juice,,,
,,,3,sugar,,,
,,,4,egg white,1,dash,
White lady,IBA Unforgettables,"Essentially a sidecar made with gin in place of brandy. What makes it different from the simple gin sour is the switching of sugar for triple sec. The cocktail sometimes also includes additional ingredients, for example egg white, sugar",,,,,
,,,1,gin,,,
,,,2,orange liqueur,,,
,,,3,lemon juice,,,
Bellini,IBA Contemporary Classics,Made with Prosecco and peach purée or nectar.,,,,,
,,,,,,,
Black Russian,IBA Contemporary Classics,Made with vodka and coffee liqueur.,,,,,
,,,,,,,
Bloody Mary,IBA Contemporary Classics,"Made with vodka, tomato juice, and other spices and flavorings including Worcestershire sauce, hot sauces, garlic, herbs, horseradish, celery, olives, salt, black pepper, lemon juice, lime juice and celery salt.",,,,,
,,,,,,,
Caipirinha,IBA Contemporary Classics,"Brazil's national cocktail, made with cachaça (sugarcane hard liquor), sugar, and lime.",,,,,
,,,,,,,
Champagne cocktail,IBA Contemporary Classics,"Made with sugar, Angostura bitters, Champagne, brandy and a maraschino cherry as a garnish.",,,,,
,,,,,,,
Corpse reviver #2,IBA Contemporary Classics,"Consists of equal parts gin, lemon juice, curaçao (commonly Cointreau), Kina Lillet (now usually replaced with Cocchi Americano, as a closer match to Kina Lillet than modern Lillet Blanc), and a dash of absinthe.",,,,,
,,,,,,,
Cosmopolitan,IBA Contemporary Classics,"Made with vodka, triple sec, cranberry juice, and freshly squeezed or sweetened lime juice.",,,,,
,,,,,,,
Cuba libre,IBA Contemporary Classics,"Made with cola, rum, and in many recipes lime juice on ice.",,,,,
,,,,,,,
French 75,IBA Contemporary Classics,"Made from gin, Champagne, lemon juice, and sugar.",,,,,
,,,,,,,
French Connection,IBA Contemporary Classics,Made with equal parts cognac and amaretto liqueur.,,,,,
,,,,,,,
Golden dream,IBA Contemporary Classics,Made with Galliano and Cointreau.,,,,,
,,,,,,,
Grasshopper,IBA Contemporary Classics,"Made with equal parts green crème de menthe, white crème de cacao, and cream shaken with ice and strained into a chilled cocktail glass.",,,,,
,,,,,,,
Hemingway special,IBA Contemporary Classics,"Made with rum, lime juice, maraschino liqueur, and grapefruit juice and served in a double cocktail glass.",,,,,
,,,,,,,
Horse's neck,IBA Contemporary Classics,"Made with brandy (or sometimes bourbon) and ginger ale, with a long spiral of lemon peel draped over the edge of an 'old-fashioned' or highball glass.",,,,,
,,,,,,,
Irish coffee,IBA Contemporary Classics,"Made with hot coffee, Irish whiskey, and sugar, stirred, and topped with cream. The coffee is drunk through the cream.",,,,,
,,,,,,,
Kir,IBA Contemporary Classics,Made with a measure of crème de cassis (blackcurrant liqueur) topped up with white wine.,,,,,
,,,,,,,
Long Island iced tea,IBA Contemporary Classics,"Typically made with vodka, tequila, light rum, triple sec, gin, and a splash of cola, which gives the drink the same amber hue as its namesake.",,,,,
,,,,,,,
Mai Tai,IBA Contemporary Classics,"Based on rum, Curaçao liqueur, orgeat syrup, and lime juice, associated with Polynesian-style settings.",,,,,
,,,,,,,
Margarita,IBA Contemporary Classics,"Made with tequila, orange liqueur, and lime juice often served with salt on the rim of the glass.",,,,,
,,,,,,,
Mimosa,IBA Contemporary Classics,"Made with champagne (or other sparkling wine) and chilled citrus juice, usually orange juice unless otherwise specified.",,,,,
,,,,,,,
Mint julep,IBA Contemporary Classics,"Made primarily with bourbon, sugar, water, crushed or shaved ice, and fresh mint.",,,,,
,,,,,,,
Mojito,IBA Contemporary Classics,"Made with white rum, sugar (traditionally sugar cane juice), lime juice, soda water, and mint.",,,,,
,,,,,,,
Moscow mule,IBA Contemporary Classics,"Made with vodka, spicy ginger beer, and lime juice, garnished with a slice or wedge of lime.",,,,,
,,,,,,,
Piña colada,IBA Contemporary Classics,"Made with rum, cream of coconut or coconut milk, and pineapple juice, usually served either blended or shaken with ice.",,,,,
,,,,,,,
